id,fx_eur,name,code,symbol,kind
13fb3c72-4227-4fa2-849a-b597a03d4494,1,Euro,EUR,€,Fiat
d5731592-e36d-44ae-a99d-e99121bef77f,0.89703,Pound Sterling,GBP,£,Fiat
444cc8b9-aeeb-4d5f-b9ae-7c58870f597e,71.5048,Russian Ruble,RUB,₽,Fiat
f19ee5e2-eb8b-43ce-b695-7a545c61dd94,34.529,Thai Baht,THB,฿,Fiat
84fa10ff-7999-4423-aabb-4c89f8004bd5,1.9558,Bulgarian Lev,BGN,лв.,Fiat
9805b90f-86ef-4df3-a657-e39b1eae5bb2,4.7246,Romanian Leu,RON,L,Fiat
fc09e223-e64a-46a0-866d-fc27267e1c67,121.77,Japanese Yen,JPY,¥,Fiat
b14962aa-9305-4b32-8425-b3a3e28c2ee7,,Kazakhstani Tenge,KZT,₸,Fiat
c52631a9-bb20-4109-ade8-af811b0d43c3,4.2449,Polish Złoty,PLN,zł,Fiat
4bc81eca-671b-4d83-b095-b9f756e49938,7.4635,Danish Krone,DKK,kr.,Fiat
14f79a82-26a1-4d9f-b618-2fcfc6c93c33,,Georgian Lari,GEL,₾,Fiat
dc8f6871-813b-40ad-bb40-3ba27fa0ed1b,7.7425,Renminbi,CNY,¥,Fiat
1a77831e-192c-4408-9246-336e8a7af12e,25.471,Czech Koruna,CZK,Kč,Fiat
26e0874a-a84b-435e-9963-f79d05e88668,,Belarusian Ruble,BYN,Br,Fiat
3d36d107-97d7-4c5a-ada9-e09da012e4eb,,Ukrainian Hryvnia,UAH,₴,Fiat
ff8cdc66-92e9-42e7-9f34-26d1e7e64550,10.5575,Swedish Krona,SEK,kr,Fiat
67f1d878-5314-49d7-8510-0606d204b475,1.1126,Swiss Franc,CHF,CHF,Fiat
973ed305-2840-4993-8c59-d4f8a78c02b1,1.126,United States Dollar,USD,$,Fiat
fa93b235-1271-40b3-84e3-43f64a5eb331,9.6325,Norwegian Krone,NOK,kr,Fiat
749706dc-0ac3-458a-99ed-f0d45a997fc6,,Armenian Dram,AMD,֏,Fiat
74584b93-68cf-47d6-8587-93225e4d48d1,,Zambian Kwacha,ZMW,K,Fiat
cae626a0-4efa-4a69-9759-01ab0fbef1f0,,Moldovan Leu,MDL,L,Fiat
351590c6-c358-4976-abf3-d3b15513668b,1.6057,Australian Dollar,AUD,$,Fiat
52d65530-fff1-4392-9bfc-8619df7dc630,,Nigerian Naira,NGN,₦,Fiat
1406ac95-e52f-40fd-b378-a678bb807136,57.664,Philippine Peso,PHP,₱,Fiat
b692f1b3-d95b-41c8-80e1-9bd18ed33468,15899.68,Indonesian Rupiah,IDR,Rp,Fiat
9f2b02b0-b20a-4615-b30b-9f76432e188d,,Kenyan Shilling,KES,KSh,Fiat
a2ab5e64-6a33-4725-9de8-6e4db985f8df,,Botswana Pula,BWP,P,Fiat
0aa0b1dc-7e67-43a4-9f9c-4b05b7407dce,4.6566,Ringgit,MYR,,Fiat
eb29d614-1507-4d2f-896b-9d94c6289c76,7.3975,Kuna,HRK,kn,Fiat
624e0e9b-cdfc-4c26-97b7-e8cd90ff2270,,Macedonian Denar,MKD,den,Fiat
44660c9d-f5b7-4ec7-8d85-9ccbe70df287,1.4712,Canadian Dollar,CAD,$,Fiat
1c6cf221-c5b1-4ece-9c72-ee0b8345ce7e,,New Shekel,ILS,₪,Fiat
5dfc25a5-48f5-4261-bded-04c8ae2968c8,,UAE Dirham,AED,,Fiat
a62a3f34-f771-438a-9deb-f83970b8adc6,,Singapore Dollar,SGD,S$,Fiat
70d0264f-5a16-400c-a9c0-6e0fcbf36c39,,Mexican Peso,MXN,$,Fiat
89c0a993-e828-474b-92a5-6113de63c34d,,Namibian Dollar,NAD,N$,Fiat
f6bceb06-d2cb-4ea8-80ea-414f624653a0,,South African Rand,ZAR,R,Fiat
77fac385-cee4-4e20-bf78-430e7eb68254,,Malawi Kwacha,MWK,K,Fiat
ffd2c9fa-4d35-49b3-9d73-089507276c35,,RTGS Dollar,ZWL,$,Fiat
a624bd79-b87e-4688-8535-a5e8f55e21c4,,Swazi Lilangeni,SZL,L,Fiat
bb789d0f-d060-4203-88d4-09ad820d615f,,Mozambican Metical,MZN,MT,Fiat
d300737d-74b5-4f51-a569-2f092a223fb4,,Brazilian Real,BRL,R$,Fiat
a013b43d-fd64-4d38-990b-f1af1c5e1dd2,,Bosnia and Herzegovina Convertible Mark,BAM,KM,Fiat
c78c82f7-56f3-4a4b-b50f-8374648e2361,,Hong Kong Dollar,HKD,HK$,Fiat
6d26a858-ebd5-4271-a55a-f0bfbe93dd4a,,Uzbekistani Soʻm,UZS,,Fiat
8ed4bc75-a4d9-4940-84c8-aaffe0e53a60,,Colombian Peso,COP,$,Fiat
cc9fce2b-e032-4a96-8a3d-416b881f89cf,,Albanian Lek,ALL,L,Fiat
11ed4b32-8f65-4bd3-82ec-5b82eb2a7ee4,,Vietnamese đồng,VND,₫,Fiat
0b2f591e-3f60-4311-ad1e-b297c8676754,,Sri Lankan Rupee,LKR,Rs,Fiat
79f5a522-3ebf-4129-80aa-8b78b12bdc45,,Indian Rupee,INR,₹,Fiat
1ea5f8dc-39e5-4af1-ae27-4809e8c8af70,,Argentine Peso,ARS,$,Fiat
456912f4-7a0c-44c7-9d95-595e8197c14e,,Peruvian Sol,PER,S/,Fiat
43719635-f9c1-414f-aa85-2c034bab8fdb,,Hungarian Florint,HUF,Ft,Fiat
7bdf007a-11ef-4bdf-b18a-cacc60729080,,Nicaraguan Córdoba,NIO,C$,Fiat